epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3355,2.24082,4.25835,2.20274,0,0,0,0,nan,nan,nan,0.00327044,0.00327044,0.070566
2,40.8593,2.43758,3.24596,2.49027,0,0,0,0,3.59312,inf,242.236,0.00660125,0.00660125,0.0405635
3,17.048,2.73722,18.224,3.64162,0,0,0,0,nan,nan,nan,0.00992194,0.00992194,0.0105509
4,36.0856,2.71388,3.75269,3.1605,0,0,0,0,nan,nan,nan,0.00996569,0.00996569,0.00996569
5,52.4886,2.69628,3.56998,2.9067,0,0,0,0,nan,nan,nan,0.00993906,0.00993906,0.00993906
6,65.8734,2.446,3.14846,2.5206,0.00079,0.12095,0.00052,0.00025,nan,nan,nan,0.00990489,0.00990489,0.00990489
7,82.082,2.37269,3.05566,2.47669,0.00147,0.10652,0.00134,0.00051,nan,nan,nan,0.00986323,0.00986323,0.00986323
8,94.6342,2.25152,2.82994,2.32817,0.00313,0.47075,0.00448,0.00141,nan,nan,nan,0.00981415,0.00981415,0.00981415
9,106.913,2.19522,2.79806,2.30402,0.40592,0.23901,0.00784,0.00313,nan,nan,nan,0.00975773,0.00975773,0.00975773
10,118.949,2.1866,2.79211,2.28663,0.02344,0.32786,0.02221,0.01078,nan,nan,nan,0.00969405,0.00969405,0.00969405
11,131.189,2.19034,2.68415,2.27628,0.22485,0.06973,0.01351,0.00641,nan,nan,nan,0.0096232,0.0096232,0.0096232
12,143.303,2.09031,2.5292,2.21587,0.16565,0.26687,0.15251,0.06857,2.59416,7.65264,2.7521,0.00954531,0.00954531,0.00954531
13,155.401,2.03546,2.42936,2.15522,0.66287,0.34647,0.30799,0.18847,2.23245,14.4325,2.71548,0.00946048,0.00946048,0.00946048
14,167.838,2.03335,2.38353,2.12093,0.50601,0.31762,0.32438,0.17332,2.29092,2.943,2.76503,0.00936886,0.00936886,0.00936886
15,179.968,2.0673,2.52623,2.19589,0.29429,0.50093,0.39193,0.20346,2.13263,2.58899,2.2505,0.00927057,0.00927057,0.00927057
16,192.047,1.94047,2.32516,2.02323,0.53472,0.38946,0.36823,0.22499,1.9154,2.97145,2.03823,0.00916577,0.00916577,0.00916577
17,204.211,1.91394,2.28456,2.00756,0.81995,0.3499,0.41879,0.21655,2.01068,2.47771,2.10471,0.00905463,0.00905463,0.00905463
18,216.69,1.90486,2.23719,2.05511,0.77034,0.4012,0.42876,0.23758,2.00921,2.2783,2.06252,0.00893732,0.00893732,0.00893732
19,228.967,1.85044,2.22102,1.96458,0.86846,0.37013,0.43888,0.26279,1.88805,2.2531,2.0055,0.00881401,0.00881401,0.00881401
20,241.455,1.87289,2.27125,2.03323,0.46132,0.42183,0.42427,0.24699,1.92681,2.76876,2.07306,0.0086849,0.0086849,0.0086849
21,253.835,1.85894,2.19661,1.9883,0.62791,0.45422,0.47298,0.26766,1.96687,2.21387,2.07183,0.00855018,0.00855018,0.00855018
22,266.544,1.82237,2.06165,1.89879,0.53558,0.42241,0.39225,0.22576,1.98595,2.4703,2.12025,0.00841006,0.00841006,0.00841006
23,279.269,1.83662,2.08991,1.94057,0.57406,0.501,0.53857,0.31096,1.95788,2.09353,2.0307,0.00826477,0.00826477,0.00826477
