epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6557,2.32253,4.78056,2.42408,0,0,0,0,nan,nan,nan,0.00327044,0.00327044,0.070566
2,34.3996,2.46866,3.57919,2.62996,0,0,0,0,3.93471,inf,448.011,0.00660306,0.00660306,0.0405653
3,47.1265,2.47666,3.27828,2.62448,6e-05,0.01276,3e-05,1e-05,4.57424,inf,886.945,0.00993279,0.00993279,0.0105617
4,57.7475,2.24494,2.88038,2.45292,0.61707,0.08081,0.08112,0.03139,3.56231,232.873,17.6034,0.00999023,0.00999023,0.00999023
5,70.1207,2.23139,2.68566,2.3968,0.41021,0.09046,0.00693,0.00287,3.57337,266.116,7.076,0.00998264,0.00998264,0.00998264
6,80.5714,2.06885,2.43359,2.31583,0.40907,0.02927,0.00313,0.001,3.58854,59.0572,33.6681,0.00997288,0.00997288,0.00997288
7,92.6439,2.0232,2.36283,2.20777,0.43757,0.22905,0.27619,0.11894,2.60551,4.4737,2.70819,0.00996097,0.00996097,0.00996097
8,105.017,2.00978,2.31213,2.20109,0.36704,0.21057,0.16207,0.07158,2.96222,120.552,6.45786,0.0099469,0.0099469,0.0099469
9,115.339,1.86926,2.15648,2.07279,0.31808,0.41744,0.37716,0.18974,2.20294,3.27107,2.23007,0.00993068,0.00993068,0.00993068
10,127.627,1.77363,1.96584,1.97286,0.63904,0.39366,0.42972,0.23811,2.12313,2.51691,2.1536,0.00991232,0.00991232,0.00991232
11,139.917,1.79613,1.92961,2.00218,0.64669,0.52305,0.47237,0.24044,2.18043,2.59153,2.19619,0.00989183,0.00989183,0.00989183
12,150.487,1.72598,1.81667,1.96247,0.59189,0.34608,0.35384,0.16786,2.32078,2.682,2.34061,0.00986922,0.00986922,0.00986922
13,162.762,1.70315,1.76618,1.918,0.59065,0.39471,0.47315,0.2564,2.09127,2.45777,2.10946,0.00984449,0.00984449,0.00984449
14,173.717,1.63198,1.68915,1.85516,0.68269,0.47044,0.52213,0.28685,2.06884,2.20082,2.1029,0.00981765,0.00981765,0.00981765
15,185.703,1.60809,1.61085,1.82878,0.67686,0.45558,0.48679,0.25747,2.10168,2.28733,2.11906,0.00978873,0.00978873,0.00978873
