epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8397,1.52222,6.14219,1.59104,0.01258,0.35923,0.07933,0.06529,1.51779,4.71198,1.54976,0.00261635,0.00261635,0.0699119
2,28.0647,1.3709,4.41635,1.54714,0.98858,0.07873,0.32819,0.23673,1.53712,3.79287,1.64428,0.00528212,0.00528212,0.0392444
3,40.7681,1.33982,3.99803,1.4772,0.70218,0.41676,0.313,0.16806,1.79211,3.66097,1.90444,0.00794429,0.00794429,0.00857322
4,55.0697,1.54109,3.93466,1.63474,0.35274,0.40637,0.36482,0.22728,1.68451,2.70906,1.65896,0.00798779,0.00798779,0.00798779
5,86.5195,1.43378,3.66504,1.5508,0.38321,0.41024,0.31354,0.1856,1.87076,3.18031,1.91615,0.00797831,0.00797831,0.00797831
6,110.93,1.42174,3.254,1.56927,0.51685,0.44592,0.43623,0.27325,1.74578,2.59801,1.84383,0.00796612,0.00796612,0.00796612
7,16.3772,1.55568,3.42444,1.62783,0.43379,0.46257,0.33893,0.19266,1.88476,4.04495,1.81474,0.00795125,0.00795125,0.00795125
8,27.2897,1.46453,2.97452,1.58023,0.4292,0.52609,0.53479,0.29857,1.79046,2.22219,1.77468,0.00793369,0.00793369,0.00793369
9,40.1915,1.4393,2.86191,1.52884,0.62495,0.61619,0.5825,0.36206,1.66658,2.16347,1.6562,0.00791346,0.00791346,0.00791346
10,50.0141,1.49138,2.58267,1.57803,0.60457,0.6497,0.63901,0.35042,1.75331,2.56937,1.7565,0.00789058,0.00789058,0.00789058
11,62.939,1.43487,2.44921,1.52469,0.74546,0.61086,0.64017,0.39869,1.57159,1.85502,1.61167,0.00786507,0.00786507,0.00786507
12,75.5316,1.3786,2.21816,1.49476,0.65929,0.6385,0.71873,0.45367,1.55941,2.07806,1.62297,0.00783693,0.00783693,0.00783693
