epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8333,1.53498,3.8819,1.70272,8e-05,0.16,0.01069,0.00313,1.80085,4.46277,1.83684,9.81132e-05,9.81132e-05,0.0673937
2,32.1094,1.45693,2.61997,1.6699,0.19199,0.6166,0.36407,0.25303,1.58005,3.61345,1.67958,0.000198038,0.000198038,0.0341603
3,48.9128,1.46244,2.50031,1.71413,0.52866,0.37892,0.4706,0.29115,1.74418,2.61113,1.86497,0.000297658,0.000297658,0.000926589
4,62.4905,1.39143,2.07723,1.62764,0.55523,0.47435,0.51823,0.34711,1.5685,2.17991,1.77083,0.000298971,0.000298971,0.000298971
5,77.1857,1.33752,1.89227,1.57789,0.62574,0.62878,0.61449,0.40162,1.58621,1.88641,1.80976,0.000298172,0.000298172,0.000298172
6,90.618,1.31487,1.69702,1.5348,0.65981,0.60749,0.65332,0.43939,1.50646,1.86247,1.75576,0.000297147,0.000297147,0.000297147
7,104.763,1.27056,1.6814,1.50477,0.6969,0.69001,0.66262,0.44976,1.47821,1.67905,1.71851,0.000295897,0.000295897,0.000295897
8,121.734,1.24836,1.69853,1.46716,0.66982,0.71906,0.68837,0.47741,1.44435,1.85929,1.65603,0.000294425,0.000294425,0.000294425
9,134.795,1.20609,1.5724,1.45009,0.67738,0.69155,0.67965,0.48323,1.47239,1.75652,1.68052,0.000292732,0.000292732,0.000292732
10,148.994,1.21276,1.47553,1.44673,0.66112,0.73064,0.68793,0.47994,1.47336,1.81014,1.6744,0.000290821,0.000290821,0.000290821
11,164.318,1.1801,1.40176,1.39898,0.79668,0.75135,0.75602,0.52715,1.43069,1.64145,1.62216,0.000288696,0.000288696,0.000288696
12,177.408,1.22689,1.44151,1.44875,0.80875,0.70919,0.72408,0.49997,1.45788,1.68624,1.63352,0.000286359,0.000286359,0.000286359
13,191.462,1.28031,1.5146,1.51022,0.73779,0.77555,0.75316,0.52737,1.38922,1.61743,1.62512,0.000283814,0.000283814,0.000283814
14,208.741,1.1685,1.37125,1.41317,0.79907,0.71619,0.77038,0.54252,1.35884,1.50747,1.58725,0.000281066,0.000281066,0.000281066
15,221.856,1.19333,1.37921,1.42547,0.79908,0.81096,0.798,0.5608,1.35839,1.44456,1.5852,0.000278117,0.000278117,0.000278117
16,236.535,1.14953,1.29464,1.38753,0.87317,0.7695,0.81452,0.58747,1.34897,1.45134,1.55105,0.000274973,0.000274973,0.000274973
17,249.868,1.14281,1.35831,1.39199,0.87787,0.75776,0.83294,0.57621,1.32859,1.41397,1.54364,0.000271639,0.000271639,0.000271639
18,264.152,1.15808,1.37344,1.40529,0.84289,0.79665,0.82316,0.57301,1.37851,1.42068,1.59713,0.00026812,0.00026812,0.00026812
19,277.144,1.16176,1.33988,1.4002,0.8887,0.77413,0.83161,0.58038,1.39375,1.44713,1.58674,0.00026442,0.00026442,0.00026442
20,295.555,1.149,1.26207,1.36312,0.89111,0.79177,0.83226,0.60175,1.37004,1.33402,1.55565,0.000260547,0.000260547,0.000260547
21,308.447,1.18665,1.2871,1.40712,0.81928,0.80166,0.80523,0.57371,1.37719,1.36512,1.58859,0.000256505,0.000256505,0.000256505
22,321.773,1.20379,1.28692,1.42402,0.8436,0.78041,0.80857,0.5823,1.3969,1.38546,1.59446,0.000252302,0.000252302,0.000252302
23,335.138,1.12908,1.24415,1.38235,0.83432,0.82357,0.82841,0.58781,1.36866,1.3262,1.55963,0.000247943,0.000247943,0.000247943
24,348.448,1.13462,1.18006,1.34999,0.88655,0.80179,0.84013,0.61834,1.30856,1.29708,1.516,0.000243435,0.000243435,0.000243435
25,365.825,1.13875,1.18334,1.38694,0.82677,0.79311,0.8307,0.58813,1.385,1.30608,1.58684,0.000238786,0.000238786,0.000238786
26,379.805,1.12878,1.15712,1.35193,0.88599,0.75797,0.81977,0.60546,1.34456,1.27699,1.5492,0.000234002,0.000234002,0.000234002
27,393.938,1.09235,1.14252,1.348,0.91425,0.79668,0.83907,0.60548,1.34953,1.23681,1.52607,0.000229091,0.000229091,0.000229091
28,407.084,1.13104,1.13389,1.34791,0.92794,0.80469,0.84685,0.61559,1.34087,1.24184,1.54522,0.00022406,0.00022406,0.00022406
29,421.777,1.12484,1.11843,1.37742,0.93287,0.80409,0.84517,0.60684,1.40761,1.19869,1.59921,0.000218918,0.000218918,0.000218918
30,436.272,1.11577,1.12903,1.36905,0.88123,0.78917,0.83109,0.61111,1.38028,1.24684,1.59134,0.000213671,0.000213671,0.000213671
31,453.329,1.0597,1.07114,1.31647,0.91997,0.84131,0.85936,0.58967,1.41708,1.2019,1.61158,0.000208328,0.000208328,0.000208328
32,466.604,1.09066,1.12015,1.31921,0.92315,0.82276,0.85532,0.60527,1.38873,1.23964,1.59202,0.000202898,0.000202898,0.000202898
33,480.377,1.08264,1.07351,1.3493,0.90173,0.81124,0.84123,0.61145,1.35616,1.24684,1.55946,0.000197389,0.000197389,0.000197389
34,494.015,1.04752,1.04878,1.3183,0.89671,0.77955,0.82932,0.62108,1.3477,1.24629,1.55987,0.000191809,0.000191809,0.000191809
35,508.025,1.06949,1.00152,1.32558,0.88812,0.78996,0.82709,0.61517,1.37286,1.21608,1.55482,0.000186167,0.000186167,0.000186167
36,526.774,1.01939,0.95905,1.29617,0.90703,0.81727,0.83959,0.63307,1.32754,1.193,1.51989,0.000180471,0.000180471,0.000180471
37,541.564,1.02065,0.98583,1.30432,0.91901,0.83619,0.85066,0.624,1.30301,1.17046,1.50828,0.000174731,0.000174731,0.000174731
38,554.934,1.06102,0.99162,1.31156,0.90555,0.81775,0.86762,0.63301,1.31526,1.17353,1.49976,0.000168954,0.000168954,0.000168954
39,569.538,1.02034,1.00367,1.28758,0.86901,0.80311,0.8231,0.62719,1.31802,1.1917,1.55098,0.000163151,0.000163151,0.000163151
40,582.961,0.96998,0.91481,1.24683,0.87762,0.84141,0.83551,0.61872,1.32934,1.1945,1.56779,0.00015733,0.00015733,0.00015733
